# Title: Install Community Content,,,,,,,,,,,,,,,,,,,,,,,,,
"# Description: This option loads Community content on the publish instance for the primary Community functions such as Blogs, Forums, Calendars",,,,,,,,,,,,,,,,,,,,,,,,,
# The following lines are joining a few users to the site previously created,,,,,,,,,,,,,,,,,,,,,,,,,
SiteMembers,/content/we-retail/us/en/community/configuration.json,addMembers,weston.mccall@dodgit.com,addMembers,aaron.mcdonald@mailinator.com,addMembers,jason.werner@dodgit.com,addMembers,ryan.palmer@spambob.com,addMembers,josh.bradley@pookmail.com,addMembers,rebekah.larsen@trashymail.com,addMembers,andrew.schaeffer@trashymail.com,addMembers,donna.billups@pookmail.com,addMembers,boyd.larsen@dodgit.com,addMembers,emily.andrews@mailinator.com,addMembers,felicia.carter@trashymail.com,addMembers,ashley.thompson@spambob.com
aaron.mcdonald@mailinator.com,1,Reply,"If you misplaced or threw away your warranty information, simply contact us and tell us what product you need warranty info for as well as your purchase date. We'll take care of the rest! Email: info@We.Retail.com Phone: 801-555-1081",,,,,,,,,,,,,,,,,,,,,,
ashley.thompson@spambob.com,2,Answer,,,,,,,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,1,Reply,"I had to contact We.Retail to obtain warranty information for a water bottle. I opted to email instead of call, and I still had the information I needed, in hand, less than 24 hours later. You can't ask for better customer service.",,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,0,Blackcomb Gloves,Do the Blackcomb gloves have a pocket for hand warmers?,gloves.jpg,,,,,,,,,,,,,,,,,,,,,
boyd.larsen@dodgit.com,1,Reply,Nope. You need to spend about $100 to get a hand warmer pouch.,,,,,,,,,,,,,,,,,,,,,,
donna.billups@pookmail.com,1,Reply,"These gloves do not have hand warmers, but I have found with them that you don't really need the warmers, and I consider myself one to get cold pretty easily, especially in my fingers and toes. The gloves are completely waterproof and have a great drawstring that helps to keep snow out and your body heat out.",,,,,,,,,,,,,,,,,,,,,,
ryan.palmer@spambob.com,1,Reply,Sales Sales Sales $$$ Cheap Gloves available at http://www.warmgloves.com,,,,,,,,,,,,,,,,,,,,,,
ryan.palmer@spambob.com,1,Reply,Sales Sales Sales $$$ Cheap Gloves available at http://www.warmgloves.com,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,2,Deny,,,,,,,,,,,,,,,,,,,,,,,
jason.werner@dodgit.com,1,Reply,"If you don't want to spend the extra money for gloves with a warmer pouch, I would suggest taking a pair of one-size-fits-all-liners (if you don't already have some, they cost $2 just about anywhere) and wearing them under your gloves. This way, you can slide the hand warmer between the gloves and not risk irritating your hands. The only drawback is, of course, if you need to grip anything like ski poles the warmers will get in the way. Good luck!",,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,2,Answer,,,,,,,,,,,,,,,,,,,,,,,
felicia.carter@trashymail.com,1,Reply,"Je ne suis pas un expert sur la question, mais je pense qu'il doit falloir depenser un peu plus pour trouver un modele adequat.",,,,,,,,,,,,,,,,,,,,,,
james.devore@spambob.com,1,Reply,"Very useful, thank you!",,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,1,Reply,You can just shove the hand warmer in the glove without the pocket!,,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,0,Lagos mini longboard,Is the Lagos mini longboard surfboard epoxy or fiberglass?,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,"The Lagos is an all-epoxy, super light board. That's a good question that I think a lot of people overlook when shopping around for their first board, so good looking out. In addition to the Lagos being a lot lighter than a glass board, it is also way stronger which is an important consideration if you plan on being bad for a while (kidding). Overall, I recommend epoxy. It's more buoyant and if you are one to care about the environment, epoxy decomposes a lot faster than traditional glass. My friend has a GoPro and got this awesome picture of me on my board (it's epoxy).",iStock_000008387990Small_edit.jpg,,,,,,,,,,,,,,,,,,,,,
donna.billups@pookmail.com,1,Reply,"You may also want to check out NexGen. It's like epoxy, but crazy light without any stiffness.",,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,"Donna is right about NexGen, as long as you are okay shelling out big $$$.",,,,,,,,,,,,,,,,,,,,,,
Calendar,/content/we-retail/us/en/community/calendar/jcr:content/content/primary/calendar.social.json,,,,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Hiker's Corner,"This month, we will be discussing avalanche safety. The snow season is just around the corner, and I know a lot of you really enjoy snowshoeing, so let's all prepare for a safe season. We will discuss common warning signs of an avalanche and what to do if you are caught in one, and we will also go through a first aid/CPR refresher.",City Center YMCA,YYYY-MM-DDT20:00:00.000Z,YYYY-MM-DDT22:00:00.000Z,0,hiking_1.jpg,we-retail:activity/hiking,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Movie Night: The Mountain,"The Superplex is showing The Mountain for their Saturday Throwback movie this month. For those of you who don't know, this 1956 classic is about two brother who hike a mountain to the site of a plane crash, but each brother has their own motives. Suspenseful. Fun. Don't miss out.",Superplex Movies 21,YYYY-MM-DDT19:00:00.000Z,YYYY-MM-DDT21:30:00.000Z,0,hiking_2.jpg,we-retail:activity/hiking,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Hiker community food drive,"Hey everyone, hope you're all doing well. As we look forward to the holiday season, I think it would be a great idea to all pitch in and help out those in need. Even if we aren't rich and glamorous, a few cans of food here and there, or maybe an old jacket or blanket that you won't use anymore can go a long way toward helping brighten someone else's day. My family and I will be posted up at the library pretty much all day long, so please fell free to stop by whenever you get a moment.",City Library,YYYY-MM-DDT08:00:00.000Z,YYYY-MM-DDT12:30:00.000Z,2,hiking_3.jpg,we-retail:activity/hiking,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Slaughter Canyon Cave,"I would like to get a group together to hike Slaughter Canyon Cave at Carlsbad. It is a strenuous hike, but it should only take us about 2 hours. From there you can explore, enjoy the park, and do pretty much whatever you want. Since it's in a national park, there are strict hike times_we need to be there ready to go at 8:00am. Also, there is a 25-person limit to each group, so it is a first-come-first-serve event. Let me know if you're interested.",City Center YMCA,YYYY-MM-DDT19:00:00.000Z,YYYY-MM-DDT20:30:00.000Z,4,hiking_4.jpg,we-retail:activity/hiking,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,While Pines Resort,I would like to get a group together to ski at the White Pine resort in outer Alabama. It's brand new and the slopes are terrific!,New Rocks,YYYY-MM-DDT19:00:00.000Z,YYYY-MM-DDT20:30:00.000Z,5,ski-quiz.jpg,we-retail:activity/skiing,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Meet at my place to hit the road,"This one is for the diehards! We're headed out to the Columbia River Gorge for a 5 night, 60-mile hike. We ask that if you decide to join this hike, you have hiked at least 3 days carrying all your gear and food. This is a difficult hike, so if you are considering joining, please grab a topo map and give the trail a good review before you make your final decision. I would like to look into scheduling at least three meet-ups before hand so we can discuss gear, safety, etc. Let me know if you're interested.",Mark O. Hatfiled hike,YYYY-MM-DDT10:00:00.000Z,YYYY-MM-DDT10:30:00.000Z,8,hiking_5.jpg,we-retail:activity/hiking,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Weekly run group,Time to work off the holidays! We're back in action for nine miles around the park. Let's all meet where Market turn to Guadalupe.,San Bruno Park,YYYY-MM-DDT20:00:00.000Z,YYYY-MM-DDT22:00:00.000Z,12,surfing_1.jpg,we-retail:activity/surfing,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Run Group Christmas Party!,"Happy holidays! Take a break and enjoy it while it lasts! Meet at my place for wine and snacks. You don't have to bring anything, but you are more than welcome to if you would like.",Rebekah's house,YYYY-MM-DDT19:00:00.000Z,YYYY-MM-DDT21:30:00.000Z,14,surfing_2.jpg,we-retail:activity/surfing,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Christmas Food Bank,"Come down to the Warf with me to help the food bank. Bring some cans of food, and stick around to help sort items for delivery. Afterward we can all get some dinner and drinks.",Fisherman's Warf,YYYY-MM-DDT08:00:00.000Z,YYYY-MM-DDT12:30:00.000Z,16,surfing_3.jpg,we-retail:activity/surfing,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Wildcat Canyon,"This week is a short run, so we will meet at the south entrance on the edge of Berkeley and run north to Tilden and back for about six miles.",John McLaren Park,YYYY-MM-DDT19:00:00.000Z,YYYY-MM-DDT20:30:00.000Z,31,surfing_4.jpg,we-retail:activity/surfing,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Run with me in the Napa Valley 5k,"I know it's a bit of a drive to get there, but I figured we could carpool and the proceeds of the race go to charity so I think its worth going out for. Get in touch if you're interested.",Napa Valley,YYYY-MM-DDT10:00:00.000Z,YYYY-MM-DDT10:30:00.000Z,40,surfing_5.jpg,we-retail:activity/surfing,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Weekly run group,"This week is a short run, so we will stay in the park and put in four miles.",John McLaren Park,YYYY-MM-DDT10:00:00.000Z,YYYY-MM-DDT11:30:00.000Z,45,surfing_6.jpg,we-retail:activity/surfing,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Monthly social,"Okay everyone, this month it's all on me. I'm not going to tell you what we're doing, but we'll hang out at my place for a few drinks before we go out for a bit, so bring warm clothes!",James' house,YYYY-MM-DDT10:00:00.000Z,YYYY-MM-DDT23:30:00.000Z,60,hiking_2.jpg,we-retail:activity/surfing,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Weekly run group,"This week we will begin our run at the Sausalito Harbor. I plan on taking us across the bridge and into the Mission District before heading back. This is a long day, so total run should be about 14 miles.",Sausalito Harbor,YYYY-MM-DDT10:00:00.000Z,YYYY-MM-DDT19:30:00.000Z,90,hiking_3.jpg,we-retail:activity/surfing,,,,,,,,,,,,,,,,
# The following lines populate the File Library,,,,,,,,,,,,,,,,,,,,,,,,,
Files,/content/we-retail/us/en/community/files/jcr:content/content/primary/library.social.json,rteEnabled,TRUE,allowVoting,TRUE,allowRepliesToComments,TRUE,allowCloseComments,TRUE,allowDeleteComments,TRUE,allowDenyComments,TRUE,allowFlagComments,TRUE,flagModerateThreshold,1,flagViewThreshold,3,allowFileUploads,TRUE,,,,
weston.mccall@dodgit.com,0,Brochures,Hiking guides and maps,,,,,,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,0,Photos,Photos of fantastic hiking trips,,,,,,,,,,,,,,,,,,,,,,
ryan.palmer@spambob.com,0,Videos,Videos of fabulous hiking trips,,,,,,,,,,,,,,,,,,,,,,
rebekah.larsen@trashymail.com,0,Maps,Download some useful maps before going for a trek,,,,,,,,,,,,,,,,,,,,,,
